@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" enjoyed trash ", P
" crap great script ", P
" awful great love pathetic ", P
" bad great love perfectly stupid ", P
" bad beautiful love trash ", P
" awful boring enjoyed lame nothing script well ", P
" great love poor ", P
" plot well ", P
" love plot well ", P
" excellent plot ", P
"  ", P
" bad beautifully decent excellent outstanding poor script well wonderful worst ", P
" beautifully different excellent loved terrific wonderful ", P
" finest plot ", P
" enjoyed great wonderful ", P
" beautifully love superb well ", P
" plot superb why ", P
"  ", P
" love plot script strong well worse ", P
" excellent fantastic love plot terrific well ", P
" amazing loved ", P
" love well ", P
" well ", P
" excellent great plot ", P
" bad excellent fantastic perfectly script ", P
" amazing superb well ", P
" bad nothing ", P
" love plot why ", P
" awful ", P
" amazing brilliantly fantastic great nothing plot why ", P
" amazing bad boring great ", P
" poor ", P
" nothing pointless well wonderful ", P
" different perfectly ", P
" fantastic well worst ", P
" great well ", P
" excellent ", P
" love well ", P
" brilliantly great love plot superb wasted well ", P
" great plot well ", P
" plot poor ", P
" different great supposed why ", P
" amazing bad great plot strong well ", P
" decent excellent script superb terrible today ", P
" enjoyed great wonderful ", P
" loved ", P
" great love well ", P
" beautiful fantastic love script ", P
" terrible wonderful ", P
" beautiful rubbish terrific wonderful ", P
" wonderful ", P
" bother couldnt enjoyed great plot terrible ", P
" amazing great loved plot ", P
" couldnt great perfectly why ", P
" brilliantly excellent great love script well ", P
" well ", P
" plot ", P
" beautiful excellent script ", P
" nothing plot well ", P
" crap love stupid ", P
"  ", P
" different excellent favorite love loved well ", P
" bad great love ", P
" great love ", P
" plot ", P
" beautiful enjoyed love ", P
" beautiful great love minutes ", P
" beautiful great love script why ", P
" bad love plot ", P
" love poor ", P
" bad excellent none nothing outstanding redeeming well why ", P
" couldnt why ", P
" bad loved perfectly ", P
" awful different great love strong today well ", P
" wonderful ", P
"  ", P
" annoying bad great love plot why wonderful ", P
" different ", P
"  ", P
" excellent perfectly ", P
" couldnt finest today well ", P
" enjoyed excellent favorite great minutes nothing well ", P
" great outstanding ", P
" excellent plot terrible well ", P
"  ", P
" beautiful boring none strong ", P
" great love today ", P
" love ", P
" beautiful predictable ", P
"  ", P
" great well ", P
"  ", P
" different great love loved ", P
" well ", P
" beautifully favorite poor stupid ", P
" different minutes ", P
"  ", P
"  ", P
" great supposed well ", P
" favorite ", P
" great terrific ", P
" great well why ", P
" great well ", P
" horrible nothing ", P
" great ", P
" beautiful beautifully enjoyed excellent favorite great perfectly superb today wonderful ", P
"  ", P
" great love ", P
" great loved none predictable well wonderful ", P
" excellent script ", P
" beautiful favorite love well ", P
" bad great script sorry trash ", P
" beautiful great loved ", P
" love terrific wonderful ", P
" favorite ", P
" boring different ", P
" love touched waste ", P
" beautiful different love touched why wonderful ", P
" beautiful great love plot strong well wonderful ", P
" amazing beautiful couldnt great well wonderful ", P
" bad ", P
" excellent plot ", P
" different favorite love sorry wonderful ", P
" beautiful couldnt excellent well ", P
" outstanding ", P
" beautiful great love strong well ", P
" nothing ", P
" beautiful great love loved painful well ", P
" enjoyed touched well ", P
" great love ", P
" loved today ", P
" bad cheap great plot well ", P
" love ", P
" love why ", P
" enjoyed today well ", P
" loved wonderful ", P
" bad ", P
" supposed ", P
" plot why ", P
" loved terrible ", P
" cheap well ", P
" love loved ", P
" ridiculous ", P
" crap predictable ", P
" enjoyed minutes ", P
" cheap favorite great love loved ", P
" plot well ", P
"  ", P
"  ", P
" different great ", P
" bad bother excellent great love plot ", P
" favorite love minutes waste ", P
"  ", P
" crap ", P
" great plot today ", P
" awful couldnt crap minutes mstk today well ", P
" crap great plot ", P
" beautiful great nothing well ", P
" favorite loved nothing plot well ", P
" crap enjoyed plot well ", P
" crap great minutes poor trash well ", P
" loved ", P
" great plot ", P
" great perfectly strong well ", P
" different enjoyed ", P
" great ", P
" beautiful ", P
" bad cheap excellent plot predictable well ", P
" favorite great wonderful ", P
" boring couldnt great loved plot well ", P
" great supposed ", P
" favorite ", P
" minutes plot well ", P
" excellent ", P
" excellent plot terrific well wonderful ", P
" decent favorite love minutes none ", P
" love well worst ", P
" bother different enjoyed love plot strong why wonderful ", P
" boring different ", P
" minutes ", P
" amateurish great loved well ", P
" atrocious bad couldnt plot terrible why worse ", P
" bad boring none why ", P
" bad horrible wooden worst ", P
"  ", P
" great well ", P
" great ", P
"  ", P
" great ", P
" why ", P
" cheap worst ", P
" bad horrible nothing ridiculous waste ", P
" supposed well why ", P
" favorite great love loved plot well ", P
" great ", P
" great mildly sorry ", P
" love nothing well ", P
"  ", P
" cheap ", P
"  ", P
" amazing bad beautifully excellent fantastic love nothing outstanding plot script strong superb well wonderful ", P
" bad love nothing plot predictable ridiculous stupid ", P
" bad superb supposed well ", P
" strong ", P
" fantastic love ", P
" loved well ", P
"  ", P
"  ", P
" enjoyed plot ", P
" love predictable trash well ", P
"  ", P
" different enjoyed excellent well wonderful ", P
" strong today ", P
" dreadful enjoyed loved nothing remotely well ", P
" different enjoyed great loved terrific wonderful ", P
" well ", P
" enjoyed excellent well ", P
" well why wonderful ", P
" amazing love predictable well ", P
" well ", P
" poorly ridiculous ", P
" great none wonderful ", P
" amazing great love loved wonderful ", P
" great ", P
" amazing ridiculous well ", P
" couldnt ", P
" different fantastic love loved well ", P
" beautiful ", P
" amazing different fantastic great loved perfectly well ", P
" amazing different excellent fantastic love ", P
" amazing beautiful great ", P
" favorite ", P
" great loved ", P
" plot ", P
" bad plot why ", P
" beautiful great well ", P
" excellent loved poor ", P
" amazing bother excellent favorite great love perfectly superb waste well ", P
"  ", P
" amazing fantastic great loved perfectly ", P
" enjoyed great plot well wonderful ", P
" amazing bad beautiful ", P
" bad beautifully well ", P
" bad beautifully different enjoyed excellent fantastic loved minutes plot ridiculous strong well ", P
" couldnt none well ", P
" amazing great loved plot well ", P
" avoid beautiful perfectly plot why ", P
" favorite great loved ", P
"  ", P
" avoid couldnt different love sorry today ", P
" great today well wonderful ", P
" enjoyed favorite none nothing plot wonderful worst ", P
" beautifully great love nothing well why ", P
" decent fails favorite love poor script well ", P
" amazing loved strong why ", P
"  ", P
" great ridiculous ", P
" great well why ", P
" crap favorite great loved nothing plot ", P
" enjoyed none wonderful ", P
" enjoyed great plot script strong terrific well why ", P
" different strong ", P
" outstanding terrific ", P
" outstanding superb wasted ", P
" great poorly stupid well ", P
" terrific ", P
" enjoyed fantastic great well ", P
" great love ", P
" well ", P
" nothing well ", P
" great nothing script ", P
" avoid wonderful ", P
" bad excellent great ", P
" awful bad boring different fantastic loved nothing ridiculous skip today ", P
" minutes well ", P
" cheap ", P
" bad ", P
" love none script why ", P
" amazing favorite great love script skip ", P
" decent plot well ", P
"  ", P
" different enjoyed excellent nothing redeeming skip well ", P
" excellent great nothing plot well ", P
" great strong well ", P
" bad worse ", P
" awful bad plot skip ", P
" cheap supposed well ", P
" bad enjoyed plot well ", P
" excellent great plot ", P
" bad minutes ", P
" brilliantly great script ", P
" great plot predictable script stupid ", P
" skip ", P
" bad boring well ", P
" crap enjoyed great skip ", P
" today well ", P
" nothing wonderful ", P
" different great ", P
" amazing beautiful fantastic favorite love poor ", P
" script ", P
" love ", P
"  ", P
" finest great script well wonderful ", P
"  ", P
"  ", P
" bad beautiful great love plot script strong ", P
" great well ", P
" different outstanding well ", P
" superb well ", P
" great love minutes plot poor supposed well ", P
" different great minutes nothing script superb supposed why worst ", P
" favorite ", P
" loved ", P
" favorite love well ", P
" waste ", P
" finest why worse ", P
" script terrible today ", P
" great love script ", P
" plot ", P
" different script well wonderful ", P
" cheap decent favorite great plot trash well why wonderful ", P
" excellent ", P
" loved wonderful ", P
" enjoyed plot superb well ", P
" fantastic nothing ", P
" great well ", P
"  ", P
" different excellent ", P
" plot ", P
" couldnt poor ", P
" love today well ", P
" love well ", P
" different love well ", P
" love ", P
" boring different love script why wonderful ", P
" beautiful love well ", P
"  ", P
" great love plot ", P
"  ", P
" great minutes poor terrific ", P
" bad plot well ", P
" great today wonderful ", P
" awful cheap loved supposed trash ", P
" plot ", P
" disaster great minutes terrible ", P
" great well ", P
" plot ", P
" why ", P
"  ", P
" great ", P
" well wonderful ", P
" amazing avoid minutes nothing well ", P
" great none ", P
" avoid bad beautiful couldnt different fantastic great horrible love minutes plot script stupid waste wonderful wooden ", P
" great lame ", P
" couldnt finest great love script strong well wonderful ", P
" amazing well why ", P
" excellent favorite love script superb wasted well ", P
" plot ", P
" love wonderful ", P
" annoying bad great love perfectly script strong ", P
" nothing ", P
" great love script strong well ", P
" outstanding script ", P
" cheap excellent favorite rubbish why ", P
" beautiful great script why ", P
" touched wonderful ", P
" minutes ", P
" great love ", P
" outstanding script ", P
" amazing bad couldnt great minutes plot script today trash well why ", P
" awful bad finest love none nothing poorly script ", P
" bad different enjoyed great love strong well ", P
" bad great ", P
" amazing great well ", P
" love ", P
" enjoyed ", P
" beautiful favorite love ", P
" bad great ", P
" loved ", P
" excellent ", P
" beautiful love ", P
" bad superb ", P
" great wonderful ", P
" beautiful enjoyed excellent wonderful ", P
" excellent ", P
" love ", P
" great loved minutes ", P
" excellent well ", P
" minutes well ", P
" great nothing ", P
" strong ", P
" beautiful wonderful ", P
" cheap crap decent skip touched ", P
" love plot well wonderful ", P
" wooden ", P
" why ", P
" fantastic minutes none superb ", P
" love well wonderful ", P
" bad enjoyed minutes well ", P
" nothing plot well why ", P
" different great loved plot ", P
" awful excellent predictable well worse ", P
" excellent well ", P
"  ", P
